Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2000","2000","t","10920200","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2000","2000","kg/ha","64.19","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","2000","2000","kg/pc","10.31","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","2000","2000","kg/1000 Int.$","44.67","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2001","2001","t","11310175","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2001","2001","kg/ha","66.6","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","2001","2001","kg/pc","10.48","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","2001","2001","kg/1000 Int.$","44.87","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2002","2002","t","10469210","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2002","2002","kg/ha","61.57","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","2002","2002","kg/pc","9.53","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","2002","2002","kg/1000 Int.$","44.56","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2003","2003","t","11077861","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2003","2003","kg/ha","65.24","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","2003","2003","kg/pc","9.91","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","2003","2003","kg/1000 Int.$","42.67","E","Estimated value",""
